date,cases,deaths
25/2/2020,0,0
26/2/2020,1,0
27/2/2020,1,0
28/2/2020,1,0
29/2/2020,2,0
1/3/2020,2,0
2/3/2020,2,0
3/3/2020,2,0
4/3/2020,3,0
5/3/2020,7,0
6/3/2020,13,0
7/3/2020,19,0
8/3/2020,25,0
9/3/2020,25,0
10/3/2020,34,0
11/3/2020,52,0
12/3/2020,77,0
13/3/2020,98,0
14/3/2020,121,0
15/3/2020,200,0
16/3/2020,234,0
17/3/2020,291,1
18/3/2020,428,4
19/3/2020,621,6
20/3/2020,904,11
21/3/2020,1128,18
22/3/2020,1546,25
23/3/2020,1891,34
24/3/2020,2201,46
25/3/2020,2433,57
26/3/2020,2915,77
27/3/2020,3417,92
28/3/2020,3903,114
29/3/2020,4256,136
30/3/2020,4579,159
31/3/2020,5717,201
1/4/2020,6834,241
2/4/2020,7910,299
3/4/2020,9056,359
4/4/2020,10278,432
5/4/2020,11130,486
6/4/2020,12056,553
7/4/2020,13717,667
8/4/2020,15927,800
9/4/2020,17857,941
10/4/2020,19638,1056
11/4/2020,20727,1124
12/4/2020,22169,1223
13/4/2020,23430,1328
14/4/2020,25262,1532
15/4/2020,28320,1736
16/4/2020,30425,1924
17/4/2020,33682,2141
18/4/2020,36599,2347
19/4/2020,38654,2462
20/4/2020,40581,2575
21/4/2020,43079,2741
22/4/2020,45757,2906
23/4/2020,49492,3313
24/4/2020,52995,3670
25/4/2020,58509,4016
26/4/2020,61888,4205
27/4/2020,66501,4543
28/4/2020,71886,5017
29/4/2020,78162,5466
30/4/2020,85380,5901
1/5/2020,91299,6329
2/5/2020,96396,6724
3/5/2020,101147,7025
4/5/2020,107780,7321
5/5/2020,114715,7921
6/5/2020,125218,8535
7/5/2020,135106,9146
8/5/2020,145328,9895
9/5/2020,155939,10627
10/5/2020,162699,11123
11/5/2020,168331,11519
12/5/2020,177589,12400
13/5/2020,188974,13149
14/5/2020,202918,13993
15/5/2020,218223,14817
16/5/2020,233142,15633
17/5/2020,241080,16118
18/5/2020,254220,16792
19/5/2020,271628,17971
20/5/2020,291579,18859
21/5/2020,310087,20047
22/5/2020,330890,21046
23/5/2020,347398,22013
24/5/2020,363211,22666
25/5/2020,374898,23473
26/5/2020,391222,24512
27/5/2020,411821,25598
28/5/2020,438238,26754
29/5/2020,465166,27878
30/5/2020,498440,28834
31/5/2020,514200,29314
1/6/2020,526447,29937
2/6/2020,555383,31199
3/6/2020,584016,32548
4/6/2020,614941,34021
5/6/2020,645771,35026
6/6/2020,672846,35930
7/6/2020,691758,36455
8/6/2020,707412,37134
9/6/2020,739503,38406
10/6/2020,772416,39680
11/6/2020,802828,40919
12/6/2020,828810,41828
13/6/2020,850514,42720
14/6/2020,867624,43332
15/6/2020,888271,43959
16/6/2020,923189,45241
17/6/2020,955377,46510
18/6/2020,978142,47748
19/6/2020,1032913,48954
20/6/2020,1067579,49976
21/6/2020,1085038,50617
22/6/2020,1106470,51271
23/6/2020,1145906,52645
24/6/2020,1188631,53830
25/6/2020,1228114,54971
26/6/2020,1274974,55961
27/6/2020,1313667,57070
28/6/2020,1344143,57622
29/6/2020,1368195,58314
30/6/2020,1402041,59594
1/7/2020,1448753,60632
2/7/2020,1496858,61884
3/7/2020,1539081,63174
4/7/2020,1577004,64265
5/7/2020,1603055,64867
6/7/2020,1623284,65487
7/7/2020,1668589,66741
8/7/2020,1713160,67964
9/7/2020,1755779,69184
10/7/2020,1800827,70398
11/7/2020,1839850,71469
12/7/2020,1864681,72100
13/7/2020,1884967,72833
14/7/2020,1926824,74133
15/7/2020,1966748,75366
16/7/2020,2012151,76688
17/7/2020,2046328,77851
18/7/2020,2074860,78772
19/7/2020,2098389,79488
20/7/2020,2118646,80120
21/7/2020,2159654,81487
22/7/2020,2227514,82771
23/7/2020,2287475,84082
24/7/2020,2343366,85238
25/7/2020,2394513,86449
26/7/2020,2419091,87004
27/7/2020,2442375,87618
28/7/2020,2483191,88539
29/7/2020,2552265,90134
30/7/2020,2610102,91263
31/7/2020,2662485,92475
1/8/2020,2707877,93563
2/8/2020,2733677,94104
3/8/2020,2750318,94665
4/8/2020,2801921,95819
5/8/2020,2859073,97256
6/8/2020,2912212,98493
