date,cases,deaths
25/2/2020,0,0
26/2/2020,1,0
27/2/2020,1,0
28/2/2020,1,0
29/2/2020,2,0
1/3/2020,2,0
2/3/2020,2,0
3/3/2020,2,0
4/3/2020,3,0
5/3/2020,6,0
6/3/2020,10,0
7/3/2020,13,0
8/3/2020,16,0
9/3/2020,16,0
10/3/2020,19,0
11/3/2020,30,0
12/3/2020,42,0
13/3/2020,56,0
14/3/2020,65,0
15/3/2020,136,0
16/3/2020,152,0
17/3/2020,164,1
18/3/2020,240,4
19/3/2020,286,4
20/3/2020,396,9
21/3/2020,459,15
22/3/2020,631,22
23/3/2020,745,30
24/3/2020,810,40
25/3/2020,862,48
26/3/2020,1052,58
27/3/2020,1223,68
28/3/2020,1406,84
29/3/2020,1451,98
30/3/2020,1517,113
31/3/2020,2339,136
1/4/2020,2981,164
2/4/2020,3506,188
3/4/2020,4048,219
4/4/2020,4466,260
5/4/2020,4620,275
6/4/2020,4866,304
7/4/2020,5682,371
8/4/2020,6708,428
9/4/2020,7480,496
10/4/2020,8216,540
11/4/2020,8419,560
12/4/2020,8755,588
13/4/2020,8895,608
14/4/2020,9371,695
15/4/2020,11043,778
16/4/2020,11568,853
17/4/2020,12841,928
18/4/2020,13894,991
19/4/2020,14267,1015
20/4/2020,14580,1037
21/4/2020,15385,1093
22/4/2020,15914,1134
23/4/2020,16740,1345
24/4/2020,17826,1512
25/4/2020,20004,1667
26/4/2020,20715,1700
27/4/2020,21696,1825
28/4/2020,24041,2049
29/4/2020,26158,2247
30/4/2020,28698,2375
1/5/2020,30374,2511
2/5/2020,31174,2586
3/5/2020,31772,2627
4/5/2020,32187,2654
5/5/2020,34053,2851
6/5/2020,37853,3045
7/5/2020,39928,3206
8/5/2020,41830,3416
9/5/2020,44411,3608
10/5/2020,45444,3709
11/5/2020,46131,3743
12/5/2020,47719,3949
13/5/2020,51097,4118
14/5/2020,54286,4315
15/5/2020,58378,4501
16/5/2020,61183,4688
17/5/2020,62345,4782
18/5/2020,63066,4823
19/5/2020,65995,5147
20/5/2020,69859,5363
21/5/2020,73739,5558
22/5/2020,76871,5773
23/5/2020,80558,6045
24/5/2020,82161,6163
25/5/2020,83625,6220
26/5/2020,86017,6423
27/5/2020,89483,6712
28/5/2020,95865,6980
29/5/2020,101556,7275
30/5/2020,107142,7532
31/5/2020,109698,7615
1/6/2020,111296,7667
2/6/2020,118295,7994
3/6/2020,123483,8276
4/6/2020,129200,8560
5/6/2020,134565,8842
6/6/2020,140549,9058
7/6/2020,143073,9145
8/6/2020,144593,9188
9/6/2020,150138,9522
10/6/2020,156316,9862
11/6/2020,162520,10145
12/6/2020,167900,10368
13/6/2020,172875,10581
14/6/2020,178202,10694
15/6/2020,181460,10767
16/6/2020,190285,11132
17/6/2020,191517,11521
18/6/2020,192628,11846
19/6/2020,211658,12232
20/6/2020,215793,12494
21/6/2020,219185,12588
22/6/2020,221973,12634
23/6/2020,229475,13068
24/6/2020,238822,13352
25/6/2020,248587,13759
26/6/2020,258508,13966
27/6/2020,265581,14263
28/6/2020,271737,14338
29/6/2020,275145,14398
30/6/2020,281380,14763
1/7/2020,289935,15030
2/7/2020,302179,15351
3/7/2020,310702,15694
4/7/2020,312530,15996
5/7/2020,320179,16078
6/7/2020,323070,16134
7/7/2020,332708,16475
8/7/2020,341365,16788
9/7/2020,349715,17118
10/7/2020,359110,17442
11/7/2020,366890,17702
12/7/2020,371997,17848
13/7/2020,374607,17907
14/7/2020,386607,18324
15/7/2020,393176,18640
16/7/2020,402048,19038
17/7/2020,407415,19377
18/7/2020,412027,19647
19/7/2020,415049,19732
20/7/2020,416434,19788
21/7/2020,422669,20171
22/7/2020,439446,20532
23/7/2020,452007,20894
24/7/2020,463218,21206
25/7/2020,479481,21517
26/7/2020,483982,21606
27/7/2020,487654,21676
28/7/2020,487654,21676
29/7/2020,514197,22389
30/7/2020,529006,22710
31/7/2020,542304,22997
1/8/2020,552318,23236
2/8/2020,558685,23317
3/8/2020,560218,23365
4/8/2020,575589,23702
5/8/2020,585265,24109
6/8/2020,598670,24448
