date,cases,deaths
25/2/2020,0,0
26/2/2020,1,0
27/2/2020,1,0
28/2/2020,1,0
29/2/2020,2,0
1/3/2020,2,0
2/3/2020,2,0
3/3/2020,2,0
4/3/2020,3,0
5/3/2020,7,0
6/3/2020,12,0
7/3/2020,16,0
8/3/2020,21,0
9/3/2020,21,0
10/3/2020,29,0
11/3/2020,45,0
12/3/2020,60,0
13/3/2020,75,0
14/3/2020,90,0
15/3/2020,163,0
16/3/2020,189,0
17/3/2020,205,1
18/3/2020,309,4
19/3/2020,391,6
20/3/2020,553,11
21/3/2020,642,18
22/3/2020,926,25
23/3/2020,1135,34
24/3/2020,1278,46
25/3/2020,1404,54
26/3/2020,1665,67
27/3/2020,1952,78
28/3/2020,2222,97
29/3/2020,2342,115
30/3/2020,2507,132
31/3/2020,3406,161
1/4/2020,4223,195
2/4/2020,4988,234
3/4/2020,5658,276
4/4/2020,6295,329
5/4/2020,6678,351
6/4/2020,7046,390
7/4/2020,8138,477
8/4/2020,9487,554
9/4/2020,10624,639
10/4/2020,11678,711
11/4/2020,12125,741
12/4/2020,12799,787
13/4/2020,13371,833
14/4/2020,14128,963
15/4/2020,16246,1091
16/4/2020,17224,1208
17/4/2020,19067,1329
18/4/2020,20466,1445
19/4/2020,21285,1486
20/4/2020,21836,1533
21/4/2020,23133,1632
22/4/2020,24062,1705
23/4/2020,25583,1968
24/4/2020,26908,2178
25/4/2020,29908,2387
26/4/2020,31077,2457
27/4/2020,33022,2621
28/4/2020,36068,2922
29/4/2020,38892,3197
30/4/2020,42443,3394
1/5/2020,45137,3616
2/5/2020,46691,3747
3/5/2020,48115,3849
4/5/2020,49481,3931
5/5/2020,52298,4201
6/5/2020,57321,4492
7/5/2020,60692,4861
8/5/2020,64756,5195
9/5/2020,68875,5551
10/5/2020,70342,5723
11/5/2020,72209,5830
12/5/2020,74727,6216
13/5/2020,78959,6536
14/5/2020,83516,6950
15/5/2020,88759,7345
16/5/2020,93853,7723
17/5/2020,95938,7938
18/5/2020,101583,8138
19/5/2020,106470,8718
20/5/2020,113609,9118
21/5/2020,120302,9524
22/5/2020,125975,10028
23/5/2020,131347,10584
24/5/2020,136748,10828
25/5/2020,140250,11020
26/5/2020,144446,11505
27/5/2020,151376,12068
28/5/2020,161640,12629
29/5/2020,171644,13171
30/5/2020,182629,13655
31/5/2020,187240,13834
1/6/2020,190565,14021
2/6/2020,201117,14633
3/6/2020,210854,15290
4/6/2020,220060,15947
5/6/2020,229735,16439
6/6/2020,238971,16871
7/6/2020,246151,17060
8/6/2020,250634,17220
9/6/2020,261183,17753
10/6/2020,271534,18345
11/6/2020,280972,18901
12/6/2020,291047,19217
13/6/2020,298257,19649
14/6/2020,305596,19895
15/6/2020,311715,20062
16/6/2020,324604,20732
17/6/2020,332268,21365
18/6/2020,336522,22045
19/6/2020,364230,22692
20/6/2020,372851,23251
21/6/2020,377817,23450
22/6/2020,384247,23617
23/6/2020,397068,24366
24/6/2020,412139,24881
25/6/2020,427499,25505
26/6/2020,447548,25893
27/6/2020,457002,26441
28/6/2020,469459,26624
29/6/2020,475989,26807
30/6/2020,485885,27456
1/7/2020,501618,27928
2/7/2020,519949,28470
3/7/2020,534698,29062
4/7/2020,541751,29584
5/7/2020,553147,29750
6/7/2020,559122,29900
7/7/2020,574389,30518
8/7/2020,590266,31024
9/7/2020,604912,31608
10/7/2020,619995,32193
11/7/2020,632614,32642
12/7/2020,640331,32842
13/7/2020,647352,33036
14/7/2020,663285,33718
15/7/2020,675987,34246
16/7/2020,689209,34857
17/7/2020,699377,35374
18/7/2020,708263,35732
19/7/2020,717154,36050
20/7/2020,723274,36209
21/7/2020,735957,36815
22/7/2020,760498,37446
23/7/2020,780732,38008
24/7/2020,800763,38548
25/7/2020,822465,39115
26/7/2020,830078,39281
27/7/2020,837243,39449
28/7/2020,843402,39723
29/7/2020,875807,40681
30/7/2020,897948,41264
31/7/2020,918197,41788
1/8/2020,933330,42219
2/8/2020,942949,42358
3/8/2020,947240,42464
4/8/2020,966437,42939
5/8/2020,984847,43805
6/8/2020,1004105,44360
